target_category,condition,seed,checkpoint,cumulative_gt_accuracy,best_source_category
credential_access,cold,42,25,0.88,threat_intel_match
credential_access,cold,42,50,0.86,threat_intel_match
credential_access,cold,42,100,0.9,threat_intel_match
credential_access,cold,42,150,0.9266666666666666,threat_intel_match
credential_access,cold,42,200,0.935,threat_intel_match
credential_access,cold,123,25,0.76,threat_intel_match
credential_access,cold,123,50,0.84,threat_intel_match
credential_access,cold,123,100,0.91,threat_intel_match
credential_access,cold,123,150,0.92,threat_intel_match
credential_access,cold,123,200,0.94,threat_intel_match
credential_access,cold,456,25,0.84,threat_intel_match
credential_access,cold,456,50,0.84,threat_intel_match
credential_access,cold,456,100,0.92,threat_intel_match
credential_access,cold,456,150,0.94,threat_intel_match
credential_access,cold,456,200,0.945,threat_intel_match
credential_access,cold,789,25,0.8,threat_intel_match
credential_access,cold,789,50,0.86,threat_intel_match
credential_access,cold,789,100,0.89,threat_intel_match
credential_access,cold,789,150,0.9,threat_intel_match
credential_access,cold,789,200,0.915,threat_intel_match
credential_access,cold,1024,25,0.56,threat_intel_match
credential_access,cold,1024,50,0.7,threat_intel_match
credential_access,cold,1024,100,0.81,threat_intel_match
credential_access,cold,1024,150,0.86,threat_intel_match
credential_access,cold,1024,200,0.89,threat_intel_match
credential_access,cold,2048,25,0.72,threat_intel_match
credential_access,cold,2048,50,0.78,threat_intel_match
credential_access,cold,2048,100,0.87,threat_intel_match
credential_access,cold,2048,150,0.9,threat_intel_match
credential_access,cold,2048,200,0.915,threat_intel_match
credential_access,cold,3072,25,0.6,threat_intel_match
credential_access,cold,3072,50,0.78,threat_intel_match
credential_access,cold,3072,100,0.86,threat_intel_match
credential_access,cold,3072,150,0.9066666666666666,threat_intel_match
credential_access,cold,3072,200,0.925,threat_intel_match
credential_access,cold,4096,25,0.76,threat_intel_match
credential_access,cold,4096,50,0.84,threat_intel_match
credential_access,cold,4096,100,0.91,threat_intel_match
credential_access,cold,4096,150,0.92,threat_intel_match
credential_access,cold,4096,200,0.935,threat_intel_match
credential_access,cold,5120,25,0.8,threat_intel_match
credential_access,cold,5120,50,0.86,threat_intel_match
credential_access,cold,5120,100,0.9,threat_intel_match
credential_access,cold,5120,150,0.9266666666666666,threat_intel_match
credential_access,cold,5120,200,0.925,threat_intel_match
credential_access,cold,6144,25,0.8,threat_intel_match
credential_access,cold,6144,50,0.86,threat_intel_match
credential_access,cold,6144,100,0.89,threat_intel_match
credential_access,cold,6144,150,0.9266666666666666,threat_intel_match
credential_access,cold,6144,200,0.945,threat_intel_match
credential_access,config,42,25,1.0,threat_intel_match
credential_access,config,42,50,1.0,threat_intel_match
credential_access,config,42,100,1.0,threat_intel_match
credential_access,config,42,150,1.0,threat_intel_match
credential_access,config,42,200,0.985,threat_intel_match
credential_access,config,123,25,1.0,threat_intel_match
credential_access,config,123,50,1.0,threat_intel_match
credential_access,config,123,100,1.0,threat_intel_match
credential_access,config,123,150,0.9933333333333333,threat_intel_match
credential_access,config,123,200,0.995,threat_intel_match
credential_access,config,456,25,1.0,threat_intel_match
credential_access,config,456,50,1.0,threat_intel_match
credential_access,config,456,100,0.99,threat_intel_match
credential_access,config,456,150,0.9933333333333333,threat_intel_match
credential_access,config,456,200,0.995,threat_intel_match
credential_access,config,789,25,1.0,threat_intel_match
credential_access,config,789,50,1.0,threat_intel_match
credential_access,config,789,100,1.0,threat_intel_match
credential_access,config,789,150,1.0,threat_intel_match
credential_access,config,789,200,1.0,threat_intel_match
credential_access,config,1024,25,1.0,threat_intel_match
credential_access,config,1024,50,1.0,threat_intel_match
credential_access,config,1024,100,0.99,threat_intel_match
credential_access,config,1024,150,0.9933333333333333,threat_intel_match
credential_access,config,1024,200,0.995,threat_intel_match
